"","postcode_2016","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"1","6005",115.836631489842,-31.9566912195263,"Perth",115.8399987,-31.95501463,368.643478442599,-120.405651379801,1,115.714389268733,-31.9663861385576,17321
"2","4006",153.033147560464,-27.4495909635773,"Brisbane",153.0350927,-27.45503091,632.731889342043,-17.6038976030359,2,153.014389268733,-27.2898489581217,23421
"3","5000",138.600560746944,-34.9287481300158,"Adelaide",138.6000048,-34.93498777,694.084970901315,4.17767756599385,3,138.514389268733,-34.7376674306678,13931
"4","7009",147.297619279863,-42.8422074778368,"Hobart",147.2950297,-42.85000853,892.098729217116,13.6779316491715,4,147.314389268733,-42.7051011454847,3901
"5","3002",144.982642705702,-37.8143683583932,"Melbourne",144.9750162,-37.82003131,919.787978698058,46.7705632586434,5,145.214389268733,-37.6821538035349,10242
"6","3000",144.965869023253,-37.8148578675331,"Melbourne",144.9750162,-37.82003131,989.146487675432,-54.3964162795103,6,144.814389268733,-37.6821538035349,10240
"7","4029",153.027245643917,-27.4476677156897,"Brisbane",153.0350927,-27.45503091,1125.82612452312,-43.4001268043775,7,152.814389268733,-27.2898489581217,23420
"8","3006",144.96054388916,-37.8257805027213,"Melbourne",144.9750162,-37.82003131,1425.05134473426,-116.693903636255,8,144.914389268733,-37.8553588842918,10021
"9","2044",151.169444927797,-33.9204110355935,"Sydney",151.1851798,-33.92001097,1455.70223134959,-91.7505939306349,9,151.014389268733,-33.8716420268834,15089
"10","2015",151.193104876157,-33.9080872085274,"Sydney",151.1851798,-33.92001097,1512.08538695234,28.8777378652894,10,151.214389268733,-33.8716420268834,15090
"11","4005",153.046383906781,-27.4642941153966,"Brisbane",153.0350927,-27.45503091,1516.36242091044,132.752493799412,11,153.214389268733,-27.6362591196354,22984
"12","4000",153.023675418496,-27.4652654389963,"Brisbane",153.0350927,-27.45503091,1599.95861195932,-135.288865651057,12,152.814389268733,-27.6362591196354,22982
